Ciudad,Año,v1_d_001,v1_d_002,v2_p_001,v2_p_002,v2_p_003,v2_p_004,v2_p_007,v2_p_008,v1_d_014,v1_d_011,v1_d_004,v1_d_003,v1_d_010
Medellín,2005,2214494,,,,,0.522,,,0.46,2.7,1170568,1043926,
Medellín,2006,2239003,,,,,,,,,,1183745,1055258,1.11
Medellín,2007,2265244,,,,,,,,,,1197825,1067419,1.17
Medellín,2008,2291378,,,,,0.542,,,,,1211997,1079381,1.15
Medellín,2009,2317336,,,,,0.534,,,,,1226084,1091252,1.13
Medellín,2010,2343049,,,,,0.538,,,,,1239890,1103159,1.11
Medellín,2011,2368282,0.986,0.192,0.04,0.038,0.507,0.09,0.11,,,1253359,1114923,1.08
Medellín,2012,2393011,0.987,0.177,0.035,0.040999999999999995,0.5,0.07400000000000001,0.105,0.42,2.06,1266416,1126595,1.04
Medellín,2013,2417325,0.987,0.161,0.03,0.091,0.506,0.083,0.111,0.425,1.97,1279388,1137937,1.02
Medellín,2014,2441123,0.988,0.147,0.027999999999999997,0.13699999999999998,0.526,0.073,0.1,0.42700000000000005,1.88,1292162,1148961,0.98
Medellín,2015,2464322,0.988,0.14300000000000002,0.033,-0.034,0.489,0.054000000000000006,0.09300000000000001,0.43,1.79,1304563,1159759,0.95
Medellín,2016,2486723,0.988,0.141,0.028999999999999998,0.028999999999999998,0.478,0.047,0.079,,,,,
